0,1,2,3,4,5,6,7,8
MTMR4,LINC01558,HSPA12A,ACTB,NT5DC3,RNPC3,AFG1L,ZNF3,ATXN7
TRERF1,ARHGEF17,TUBGCP3,TMEM94,WWC3,NKX2-2,MIR29B2CHG,UPF1,EIF5B
ABHD18,SV2B,LRRC74B,LINC01521,CTNNAL1,WNT5B,EHHADH,CHM,UBA6
ETFBKMT,STAG3L3,RPUSD2,SPATA2L,RADIL,CPD,OTUD3,CXXC4,MAP3K14
RPF1,RBM33,STK10,ATP23,TAFA5,ZNF215,PCNX1,XRRA1,SF3B1
CEP97,AC073475.1,SUCLG2-AS1,PPP6C,TACO1,CCDC150,CAPRIN2,RNF19A,CYB5R4
BHLHE40,RNF123,EPG5,PGAM1P8,SLC2A4,LIPT2,TRPV1,RGS5,ERVK13-1
FAM200B,KATNAL1,RTCA-AS1,SUSD1,COLEC11,TOP2A,GARNL3,PRDM5,ZNF678
HELQ,PRKCE,AC091271.1,WBP4,EVI5,FANCC,IRAK4,STPG1,CAPRIN2
PLEKHG2,ASRGL1,IRAK4,ZNF823,AP001347.1,PRKCA,MSL2,SLC8A1,XYLT2
MIA3,CACNB3,AMY2B,LINC01285,RGS16,MPP3,AC009967.1,SMCO4,NLRX1
AL355355.1,KIF5C,CCL22,HMCN2,DNAJC12,SMURF1,KIAA1109,CA4,TGFBR2
KIAA0232,HIGD1B,SLC16A10,OVCH1-AS1,FER,ARID2,RNF150,HELZ,CDK12
XYLT1,MEG3,TECPR2,PITPNM2,AC105942.1,MXD3,ZIK1,FAM131A,MIGA2
ERVK13-1,CDC14A,VPS53,VSTM5,AC010624.5,MTFMT,C12orf43,ATP8B2,TUBGCP3
TMEM161B-AS1,FOXD2,ZNF284,LINC01145,SOX6,DUSP16,GTF3C1,PRND,HERC1
KDM3A,DES,LINC00598,DTWD2,FUCA1,COL9A1,ATF6B,BCOR,TACO1
AC092653.2,ZNF346,AC002460.2,FYTTD1,TMEM178A,LINC01558,FBXO42,GRB14,CYTH3
BCOR,AUTS2,GABBR1,RPUSD2,YPEL2,PRDM10,NBEAL2,WDR92,ANKRD13D
ZIK1,LILRA5,CUL2,LAMA2,ACSL3,PTDSS2,SERPINE1,MAPK8,SLMAP
AGO3,ARID2,CHM,TNFAIP6,CLDND1,STPG1,UBXN7,ASAP3,TNS1
SLC47A2,MEG8,AC008592.3,ZNF623,PBXIP1,ZNF81,CDK12,ARHGEF17,LPAR1
AL157935.1,NEU3,DLG2,MMUT,MEGF6,TPTE2P5,AC096733.2,RPS20,LINC01619
RFX3,ACTG2,DCTN5,VPS54,PLXNB2,WDR31,ARAP2,EHHADH,GRN
PCSK7,ADAM19,AC005041.5,CDHR2,LINC01697,SLC16A10,SLC30A9,EHBP1,TRIB2
NRF1,SEL1L3,SLC30A9,AFG1L,CDKN1A,NEU3,PIGG,DNASE1L3,CARMN
B4GALT1,TBC1D19,PARP16,BCO2,SHISA6,SUCO,AGO3,FAM162B,PON2
SETD1B,ADAMTSL1,DGKA,SELENBP1,LBH,SGCB,CUL2,HIGD1B,NEIL1
AC010336.8,TANC1,HELZ,AC034114.2,UST,NTN4,FCGBP,HERC1,POLK
MUC20-OT1,OTOP2,OVCH1-AS1,FEM1C,MAGI2,GHR,STARD7-AS1,KANK2,CLEC2B
LRRC74B,TMEM135,AC073475.1,TAFA5,CAMSAP2,SEL1L3,AC025164.1,KIF19,GTF2IRD2B
IL4I1,FZD3,NRDE2,SDK2,LZTS1,MAP3K9,NEDD4L,NBEA,CD83
LINC01422,PRDM1,SUPT7L,MAPK8IP3,MMP16,ERVK13-1,DBT,LBH,QSOX1
DAPK2,SLC1A3,KANTR,CSRNP3,PRPF8,B4GALT1,OTUD5,C19orf25,CTC1
AL356599.1,LINC02660,WDR31,NKX2-2,FGF2,KDM3A,RBM33,MEGF6,AP000769.1
AC109466.1,PTDSS2,DIPK2A,MAP3K9,GUCY1A2,SMIM14,ZNF518A,PCNX1,SNCA
SH2B1,FLT4,SWSAP1,MYO15B,TSPAN9,ASB7,CAMSAP2,DIPK2A,AMFR
UBAP1L,MMP3,DDHD2,WDR92,ACOX2,SYNPO,PCBP1-AS1,LINC00662,XRRA1
CDK9,AHCTF1,MPHOSPH9,PCDH17,SLC26A11,MAPK8,LRRC23,CSF1,MTMR3
MTMR3,VSTM5,SHANK2,GOLGA2P5,HMGN5,NAA40,EGLN3,LINC02256,WARS1
ZNF284,TRIM71,ARRDC5,ZNF385C,CX3CL1,ADCK1,AC009554.1,SEMA6D,FOXD2
NUCB2,EREG,AL049646.1,ARHGAP15,CACNA1C,ZFYVE28,AL355073.1,SNHG14,GSKIP
UBL7-AS1,MGAT4C,AC132872.5,CPEB3,ATXN2,SUCLG2-AS1,TACO1,RNMT,PITPNM2
TLE4,SGPL1,SOCS4,EFHC2,TXN,SEC22B,UNC13D,FER,EHF
SUPT7L,MEGF6,ZNF487,PPP1R9A,PRRC2A,HEXIM1,SOCS4,DLEU2,JAML
AC011498.1,FMO4,JADE1,YTHDF3,ADAMTSL1,TRMT9B,TAZ,SGIP1,CAMTA2
RGS16,SERPINE1,SOS1,AC092666.1,PTH1R,KREMEN1,TBX6,FAM118A,PTN
CATSPERB,VPS37B,PTCH2,CABLES1,PIP4K2B,CCSER1,DENND11,LEF1-AS1,TOX2
CNKSR2,NCAM2,ARAP2,AC092164.1,UTRN,FRMD4B,DAAM1,ALAS1,MPST
SUCO,SLFN13,KDM3A,FAM98C,NFKBIZ,AFG1L,ESR1,RNF152,IL4I1
AL133245.1,TSC1,KLHL15,CDK12,NTN1,AC007566.1,AC034114.2,UBXN7,ADAL
AMY2B,PLAGL1,PPIEL,ALG14,ITGA9,ADAMTSL1,AL683813.1,SLC2A6,FANCC
FGFBP2,SLFN12L,PRDM10,RIF1,FLRT2,TTC33,QSOX1,AKAP12,PTPN4
RAB21,PROM1,HDAC6,AC010336.8,PELI2,AC188616.1,BIN2,SETD1B,ANKRD36
ZNF81,UGT2A3,ZNF169,AREG,SLC8A1,RABGAP1,DLEU1,RNPC3,PCP4
C16orf58,PPFIA3,RTTN,ZNF558,EGFL6,CCNB1,C8orf31,CHIC1,USP32
RABL2A,TSPAN11,AC007566.1,RAD18,TRERF1,FAM118A,PCNA,KATNAL1,USP7
AC091271.1,TECPR1,TRPV1,C1QTNF1-AS1,NRDE2,CSRNP3,MORC2,VCAM1,THADA
AL365295.1,FBXO42,RFX3,AASS,ZNF331,H2AC11,ERAP1,SH3D19,CLDN23
RASSF3,ST3GAL6-AS1,LINC01285,TMEM181,CFAP69,NLRX1,SMURF1,RTTN,UTRN
COX10-AS1,CEP295,OTUD5,MVB12B,PTGS1,SLC38A2,AC008105.3,TOX2,TYMS
ZUP1,GRIN2C,MAPK8IP3,CPNE3,HSPA12A,CXXC4,ESCO1,FEM1C,UPF1
KCTD21-AS1,PPIEL,ZNF81,C1orf21,ISG15,PGAP1,COLGALT2,RFX3,LPIN1
GREB1L,SLC4A4,OTUD3,AC108471.2,ATF3,CRYBG1,SLK,SUGP2,SYP
ADAMTSL5,KIAA0232,SEC31B,AL035420.2,ARID1B,ITGB8,HELQ,ZNF566,ENPP2
PCGF1,TMEM67,PAIP2B,PLAGL1,KLHL7,TPBG,EIF5B,TRA2A,CDC14A
AC132872.5,MCOLN2,MIGA2,DENND11,PARP16,DEFA6,HMGB2,CEP135,AC022966.1
LINC01145,PPP2R2B,ANKRD36,GCNT3,SH2B1,RBFOX2,TRAIP,SYP,SP4
SNHG14,FENDRR,H2AC11,TMEM161B-AS1,ATP1A2,SH2D6,ATP1B1,NINL,PRPF8
ZNF141,ABCC13,CFLAR,AC078785.1,AC092164.1,PKD1,FOXJ3,NF1,RNPC3
C12orf43,AGTPBP1,AC034114.2,SLC30A9,PARD6G,SGPL1,NARF,AFG1L,FAM102A
SPATA2L,CA1,COX10-AS1,RPS6KA3,CSAD,AC018647.1,TMEM135,PLEKHA7,CCL18
ABLIM1,AHSA2P,NINL,ADAMTSL5,HSD17B2,CENPO,WDR92,ARID1B,AK5
SUGP2,CDK9,ANKRD36C,EXD3,TNPO2,CENPU,CUL4A,PDE4D,CCL20
PRDM10,TTLL7,ZBTB10,AHCTF1,ZNF826P,CRPPA,MPHOSPH9,NCOA6,CA4
ERP44,PZP,ING5,PPP1R12C,SKIL,ING5,SNHG12,NBAS,EHMT1
PSTPIP2,SYT13,FTX,HS3ST2,RPS20,AC005062.1,VCAM1,MFGE8,CD72
SCML1,DLL1,LINC02660,AC124016.1,MYO6,POU2F3,ARRDC5,PALLD,AC012368.1
EBI3,PIGG,RANBP2,AGTPBP1,ESAM,CASP9,VPS13D,PGAP1,CST7
SLC16A13,HEATR5B,ZNF252P,NEU3,MRPS21,TMEM135,BCORL1,HACL1,TMIGD2
ATP23,HMSD,AP3B1,SLC51B,GALNT17,TUBGCP6,TYMS,DDHD2,IL2RA
SETDB2,LRCH3,EIF5B,NPLOC4,KCTD1,CEP295,WNK1,MYLK,WWC2
AC092666.1,CDK15,AC011498.1,ANP32BP1,AC002074.1,BTBD9,ACE,SF3B1,CMC1
CYP2R1,KCTD1,AC242376.2,TSC1,ARHGAP28,TRIM71,CD300LG,RAB3GAP2,AP3B1
EPHA4,CYFIP2,GOLGA8B,C16orf58,IQSEC2,EDN1,IQGAP3,DNAJC12,IL17RE
FZD3,CLUH,DPY19L2,RABL2A,RFTN2,PELI2,PAXIP1,BMS1P10,RABGAP1
ZNF699,ADCY9,AC018647.1,AC087651.1,VAT1L,DIPK2A,GABBR1,C12orf43,AC253572.2
GTF3C1,IFT81,CASP8,BCOR,DGKG,PDE3B,AC243829.4,NAA40,ANKRD36C
AC009554.1,NUAK2,HEATR5B,PROM1,USP40,AL022068.1,LINC02541,NR3C1,SPATA2L
AC104389.4,MARVELD2,KAT2B,TMEM178A,ZNF566,AC005041.5,XYLT1,ESCO1,ISG15
ALOX12B,RTTN,SLC4A7,ITPRID1,CAMTA2,PPIEL,CSRNP2,CD55,MXD3
PITPNM2,ATOH1,NEU3,ALOX12B,PLA2R1,RNF223,USP7,IFT81,ERN1
HIF1AN,ADAMTSL3,FANCC,AC107029.2,WBP4,CDK12,POGZ,ABCA2,ITGB7
TUBGCP3,CLIP4,UST,RRP1,MUSK,AC008629.1,TECPR1,ZNF224,CLECL1
ZNF826P,IRS1,SAMD12,NBN,PRDM5,COX10-AS1,PLEKHG2,FAM98C,PIM2
FBXO42,MYO6,FBXL18,LINC01572,NRG1,U2AF1,ZNF652,DKK2,MAN1A1
NCOA6,LINC01619,ERAP1,C8orf31,AC018647.1,PAIP2B,TECPR2,ST6GALNAC1,A2M
MAP3K19,ANKS1A,MNDA,DLC1,TRIB2,HIF1AN,BMS1P1,PANK3,GRAMD4
AHCTF1,FOXJ2,SS18L1,SAMHD1,AUTS2,AC092666.1,UST,SGSM2,ATP2A3
Z84485.1,SUCO,AL603756.1,STYK1,PHLDB3,CCDC157,SLC26A4-AS1,ANKRD36C,ARHGAP4
RIF1,FAM178B,KIF5A,NLRX1,ADAMTS9,MRM1,COX10-AS1,CACNB3,PBXIP1
TNPO2,AP000769.1,KCTD21-AS1,AL683813.1,ADAMTSL5,ELL2,AEBP2,AGTPBP1,PFKFB3
SAMD12,ANO1,CSRNP2,COX10-AS1,KATNAL1,RRP1,CYCS,FANCC,CBR4
CDK12,SOCS4,TBX6,SCML4,ZMYM4,SLC26A4-AS1,TNFAIP1,AP3B1,ENDOD1
POT1-AS1,MUC4,HECW2,ACKR3,CDK14,RBMS2,LINC00324,USF1,PDZK1IP1
ADAL,EDN3,ZNF566,BMX,NBEA,AL603756.1,TRIM35,RFX2,MYO6
AC093752.1,MMRN1,ERVK13-1,GLIDR,RBMS2,MID1IP1,ACOT11,PIGG,CXCL3
CYB5R4,ESM1,PRKAG2,SGCB,PDZD2,FZD3,MATK,LTB4R,IGLL5
NPRL3,IRAK1BP1,HERC1,MAGI2,NBAS,PLAGL1,LTBP2,PELI2,ACSS1
ITGB3BP,EGFL6,AC108471.2,ING5,POLK,OTUD7B,KLHL7,ZNF823,CPSF1
CCL22,GTF2IRD2B,AL022068.1,CCDC157,USP53,SAA1,FEM1C,TMEM17,FCGR2A
SPINK2,GTF3C1,FAM66D,DBT,ATP8B2,PRDM15,AC008592.3,CRPPA,FURIN
TPTE2P5,MNT,AHCTF1,ZGRF1,MAFB,AL354718.3,CSRP1,MAML2,MYO15B
TTC33,KAT2B,ATXN2,AC092653.2,NPRL3,FAM178B,DCTN5,SPATA2L,PLEKHA5
PRPF8,LINC01843,THADA,CEP295,MXD4,BCO2,AC108471.2,TXN,GDF15
SOCS4,FAR1,CYP2R1,FLRT2,CMIP,RANBP2,MED23,TNPO2,MAP4
AP000253.1,EHF,STS,SLK,DDX52,TAC3,NRDE2,NEIL1,VWF
LINC00996,FAM135A,ZNF846,ERVK13-1,GBP1,METAP1D,AC007384.1,OTUD7B,MX2
NRIR,EPHA4,GRIN2C,SLC2A4,AC093752.1,SSUH2,GIGYF1,TENT4A,RIF1
ATP2A3,HIP1R,H2BC8,MX1,AEBP2,STK33,ADAMTSL4-AS1,STS,DHX35
NPLOC4,AC002460.2,TRPM3,BUB1B,SLC9A3R2,PEAK1,CENPO,TRPM3,EML4
AC092164.1,METTL4,NBAS,AC005618.4,TAC3,AZGP1,SLC2A3,VPS53,DAPK2
DPY19L2,AC009951.3,FAR1,PTPN13,OSMR-AS1,LINC01320,NBAS,USP45,MIA3
ADAMTS17,MIR194-2HG,FOXJ3,SPARCL1,ZNF583,TRPV1,PRDM10,EPB41L2,SMG1
GRK4,HOOK1,ATE1,CAMSAP2,DIPK2A,POGZ,RAB11FIP2,SAT1,RBMS1
RNPC3,AK5,ZNF3,KIF5C,PRUNE2,SOCS4,ICA1L,SMG1,MAP4K1
MIP,FAM189A2,CHRNA7,PROCR,PCDH19,EGFR,LNPEP,ABHD18,MEG3
AK5,HMGCS1,TBC1D19,MICAL3,NAALADL2,PRKCE,ZNF888,SH2B1,PAXBP1
EHMT1,ABHD18,XIST,LINC02453,AC005062.1,AURKB,ADCY9,ATP2A3,FRMD4B
ZNF26,JADE1,FAM98C,SUCO,PRKCA,ZBTB10,RAB21,ZNF623,LINC02328
AC124016.1,TPBG,FZD3,SOCS4,AC091271.1,MSH2,RRP1,MSH2,ESCO1
FRMD4B,ZNF846,AL390957.1,HDAC6,SUPT7L,EDIL3,MRVI1,AC242376.2,PTP4A3
ACOXL,SCRG1,LIMS2,NAA40,TMOD2,KLHL15,MTURN,SLMAP,ITIH5
C3orf62,DYNC1I1,MSL2,B3GNTL1,SMURF1,ADGRE5,CD55,OSMR-AS1,DRAIC
TRIM66,PANK3,CHIC1,MMP7,C20orf194,TRAIP,DENND4A,TTC26,KPNA2
LINC02256,HAND2-AS1,NAALAD2,AC011498.1,MTA1,CNKSR3,PDCD6IP,OTUD5,CLDND1
ITGA1,SAMD12,XYLT1,ITGA3,WT1,ITPRID1,TK1,TRIM66,ZBP1
PDE12,ZBTB37,ITPRIPL1,NEK11,NAALAD2,FMO4,TTC33,ITGB5,PPP1R12B
AC008592.3,ADGRB3,TACO1,ZNF487,RABL2A,MED23,NT5DC3,ZNF862,BIK
DDX52,KLRC1,RNF123,IGFBP7,RNPC3,SGSM2,SOS1,REEP1,KIAA0232
SGSM2,LINC02694,TRIO,CCDC170,PLEKHG2,SUPT7L,ZNF169,RANBP2,ARHGEF40
POGZ,AC104389.4,CCDC157,COL8A1,PDCD6IP,SLC25A37,LIN7A,CENPO,FAM200B
LINC02453,RNF152,DEFA6,ADAMTS9-AS2,TMEM17,TSC1,AC008629.1,COL4A5,IL10RA
CAMTA2,AC107204.1,RRAGB,PCGF1,NBN,PAXIP1,STPG1,NCK2,LSM14B
UBR3,MAML2,MNT,AC007566.1,CBR4,SERTAD1,SEC31B,KAT2B,PLAT
RAB3IP,ADAM23,CYB561D1,CCSER1,ESR1,EML4,LIMCH1,AC022966.1,PODXL
PARPBP,SYTL3,MIR222HG,AL355355.1,TMEM67,BMPR1A,CLUH,ADCY9,TC2N
PPP6C,LINC02328,POT1-AS1,STPG1,MMP3,LINC02453,ZBTB37,NBN,RAB3GAP2
PAXBP1,NTM,NR3C1,AC132872.5,SUCLG2-AS1,INSR,RFX3,ARRDC3,AL021155.2
ZNF528-AS1,MICAL3,AC092653.2,LIN7A,GIGYF1,SLC16A13,ST6GALNAC2,PCGF1,AC005747.1
USP32,SCML1,SLC14A1,MAP3K19,BMPER,PGAM1P8,AC132872.5,ADAMTS9-AS2,PLAAT2
ZNF862,SLC16A10,CSAD,AQP8,DDHD2,ZNF652,FGF12,DYNC2H1,ZMYM4
AL035420.2,TMIGD1,NLRX1,RPF1,CAMKK1,LINC01285,PDHX,OGT,ANK3
TMEM181,AL353194.1,SERTAD1,OSGEPL1-AS1,CAPRIN2,AC002460.2,MMUT,CAPRIN2,IL1R1
SUCLG2-AS1,UBXN7,AC104389.4,AL603756.1,MYOM1,TBX6,RPF1,ANKRA2,ANPEP
LINC01991,TPRG1,C8orf31,SV2B,GTF2IRD2B,LPAR1,ARHGAP24,NR4A1,TK1
CENPO,RPF1,AK5,SLC26A2,EGLN3,SETD5,AHCTF1,PLEKHG2,DSTN
ASTN2,ARHGEF26,SOX2-OT,TMEM135,SLK,ZNF862,MAP4,FHL1,CBX6
AC005537.1,LINC00299,SUSD1,FER,NINL,NCK2,AHSA2P,THADA,ABR
PARD6G,ZNF252P,RIF1,GRK4,GARNL3,ANO1,MXD4,BMPR1A,MS4A4A
RUFY2,LMOD3,DICER1-AS1,MSL2,TMEM135,PCSK5,DYNC2H1,LINC00205,SLC4A7
CAPRIN2,SNHG14,ENPP3,COL27A1,PCGF1,CPNE3,ARID2,ATF3,STOM
PRRC2B,ZNF623,UBR3,MX2,UBR3,PITPNM2,ZNF823,ARID2,RPLP2
AC083862.3,LINC02256,ESR1,SLC7A2,YTHDF3,IRS1,AC010336.8,AGO3,GGTA1P
TET2,AC012368.1,SIN3B,MHENCR,SLC23A2,AC034114.2,RAB11FIP3,ERP44,EHBP1
ADAM23,MEF2D,TRIB2,AL049646.1,TANC1,AC008755.1,TCEANC,NEDD4L,RERGL
HMCES,HDAC6,TPT1-AS1,CYB5R4,MMUT,ACSS1,KANTR,FBXO42,MEF2D
FBXO36,ABCA9,EML4,AP000253.1,TBC1D2B,C12orf43,SLC25A53,USP32,SNHG12
AC009126.1,LINC00844,EPHA4,AC008629.1,BCORL1,CACNA1C,AC018647.1,GMDS,TRIM35
ZBTB10,PCSK2,CUL4A,ZNF652,C16orf58,SIN3B,CBR4,ANKRD13D,GKAP1
AHSA2P,SYNPO2,MFSD2A,AL050309.1,AL356534.1,C1QTNF2,ZNF623,AHI1,SS18L1
AC009967.1,AC078785.1,ALOX12B,CHIC1,FBXO36,IRAK1BP1,CRPPA,TECPR2,THEMIS
ANKRD28,SIN3B,TBC1D31,PLAT,ZNF846,CAMKK1,EPG5,ZNF169,FOXA3
LRRC69,DUOX2,PHLDB3,DICER1-AS1,LINC00662,BRPF1,SERTAD1,ZNF284,CRYAB
AL354718.3,AC093157.1,ELL2,NAALAD2,BCO2,TECPR2,TRIM66,AL353194.1,CCNB1
PAXIP1,IQGAP3,LINC02577,RGS3,ZDHHC8,FAM160B2,RNPC3,PPP2R3A,GPM6B
ESCO1,KIRREL3,TRIM66,PDHX,C12orf75,TECPR1,ZDHHC8,ZNF252P,TUBGCP6
BACH2,TBC1D31,ADAM23,PDZD2,CHD6,ALOX12B,FAM160B2,SEMA3A,PRKAG2
KANTR,AC005618.4,NPLOC4,TTC33,PKD1,ZNF33A,RBMS2,ANKRD36B,YTHDF3
OSGEPL1-AS1,SLC35F1,ALG14,SERTAD1,GTF3C1,ELP4,NSMCE1-DT,BTBD9,NR3C1
FBXL18,EHBP1,DTWD2,KIAA1755,AVPI1,UBR3,ZNF26,NTN1,MIDN
H2AC11,ZNF536,CSRNP3,BMPR1A,CSRNP3,FBXL18,ABCA3,ZFP14,RABL2A
KATNAL1,UGT8,ZCCHC2,GUCY1A2,TLE4,RFX3,MYO1G,SS18L1,ZFP14
MIGA2,DMXL2,C16orf58,RASSF6,RNMT,LINC01521,DLEU2,FAM135A,MEG8
DENND4A,RALGAPB,ATP23,CFL2,PGAP1,PCNA,IQSEC1,KLHL15,PLP1
CHM,EXD3,HMGCS1,BMS1P1,MTMR3,AC009967.1,ANKRD33B,ZNF880,DUSP4
AC078785.1,GLCCI1,PDZD2,SASH1,LINC00899,TRIM9,TCF4,TRIM35,RFTN1
KLHL7,CBX4,PRRC2B,MORC2,FAM66D,GKAP1,LINC01320,ALG14,NLN
DENND11,FA2H,ANKRD13D,AC104170.1,PPP2R3A,CYB561D1,USP45,MRM1,NAMPTP1
HEATR5B,AK8,TENT5C,FAM66D,DTNA,SAP30L-AS1,DUSP4,MIA3,P2RY10
TPT1-AS1,DKK2,SPATA2L,ATOH1,LIN7A,GCNT2,CCDC82,ITGB3BP,ZNF826P
AC096733.2,RIF1,CPSF1,PPFIBP1,FMO4,BMX,NRF1,ZNF518A,PHLDB3
MAPK8,LINC01934,ZNF862,IRAK1BP1,SELENOP,FAM186A,PARP15,TRERF1,PCNA
BTBD9,CCL26,RNPC3,AUTS2,AC107029.2,AL355355.1,HMGN5,ANKRD28,MXRA7
ICA1L,ZNF583,FAM118A,MRAP2,PCP4,NAMPTP1,MIR4435-2HG,GRK4,ITPRID1
ANP32BP1,OLFM4,TFAP2C,RAB11FIP2,FAM131A,EHMT1,ERP44,IRS3P,BRPF1
CEP295,AC093752.1,C2orf88,H2BC8,MTURN,ACOX2,ZBTB10,CSAD,MFSD2A
PIF1,MTA1,LSM14B,TPTE2P5,C8orf31,TENT5C,RNF123,LRCH3,ZNF3
ZNF652,PPP1R12B,AGTPBP1,BCORL1,REEP1,AL050309.1,LETM1,AC104389.4,S100A9
CCL20,PTGS1,SYP,UBL7-AS1,ZNF487,AL365295.1,BTBD9,ZNF528-AS1,UBE2Q2P1
PPIEL,SLC26A2,WBP4,ACSL3,ZNF558,ZNF445,CENPU,MTMR3,PRRC2B
RRP1,UBL7-AS1,ARID2,FOXJ3,KIAA1109,AC007613.1,NAA40,HIP1R,AKNA
SEC22B,DMPK,IRS1,AC093827.1,TTC26,BMS1P1,NCOA6,LRRC69,RNF19A
PTCH2,ACSS1,ITGAX,PRELP,PDE4D,SOS1,AC006059.2,TET2,SUGP2
VPS54,SLC8A1,TUBGCP6,DNAJC12,TM4SF1,NRF1,STK10,HDAC6,BAP1
MFSD4B,AGO3,SLC23A2,KDM3A,VWA5A,AL365226.2,ADCK5,GCNT2,EPB41L2
AC002460.2,STAG3L2,PDE4D,AC138409.2,PCDH9,SELENON,AC109466.1,SUPT7L,EPB41
LRCH3,LMOD1,LINC01619,OSMR-AS1,GLIDR,KIRREL3,ZNF862,HEATR5B,ITPK1
LINC01572,FAM160B2,TMEM94,CHP1,PDHX,AC105942.1,UBL7-AS1,ZFP82,CEACAM7
OTUD3,WBP4,ADCK5,SEC24A,FHOD3,FAM102A,PDE12,MED23,GATM
CYTH3,FURIN,PIM2,ZNF3,FAM160B2,SETD1B,OASL,CSRNP2,SETD1B
SETDB1,MMP7,ZBP1,TAC3,PPM1F,RASSF3,FOSL2,IRAK4,CD4
RDH8,ZNF558,ASB7,MXRA7,TNRC6B,RAB12,MIP,ADCK1,OGA
MRPS21,AL603756.1,TPTE2P5,EPG5,RORA,NFIA,SAA1,TTC33,HMGCS1
TBX6,CPEB3,SGSM2,MIGA2,ABCA2,ESCO1,HEXIM1,NDRG2,RUFY2
LAMP3,PAXIP1,GRASP,ACOXL,SOS1,AHCTF1,MPP3,ZNF583,KIF5A
AC104806.2,CYP2R1,DENND11,AC239799.2,NBPF9,RTTN,FBF1,SPOCD1,TAZ
AL603756.1,SETD1B,RHEX,LINC00520,PPIEL,UBAP1L,PRKCE,DOCK5,MUC12
ZNF846,PSTPIP2,CAMTA2,LINC02595,OSBPL6,AP000253.1,KIAA0232,KIRREL1,OTUD5
ZDHHC8,PLA2G6,AP001347.1,LINC02156,RPUSD2,NEK11,ABCA9,KIRREL3,TCF7
SOX2-OT,H2BC15,GARNL3,CNN1,CHIC1,ZNF558,AC093752.1,ANKDD1A,ABHD18
GTF2IRD2B,UPF1,SUCO,S100A9,BAP1,CNKSR2,PPP6C,ZNF721,EGFR
SLC16A10,GLMN,ATXN7L1,TINAGL1,ADGRB3,ZNF487,CYB5R4,ETFBKMT,PDGFRB
DICER1-AS1,GFPT2,PLEKHM1P1,Z84485.1,FGF12,KANTR,ATP2B4,MLXIP,CUX2
ZNF440,AC002074.1,FER,MIR99AHG,DICER1-AS1,ZNF385C,ATXN7L1,TACO1,SNHG14
AC007613.1,CASQ2,MEG8,TUBA1A,NCAM2,MIA3,CLDN23,AC092184.1,AC008105.3
HHAT,PPP6C,FAM131A,NBEAL2,MAML2,AC129492.1,C1QTNF2,IRAK1BP1,LINC01934
ALG14,BTNL9,ZC3HAV1,POT1-AS1,LRRC23,AMY2B,AP000769.1,XYLT2,ITLN1
AC005618.4,UBR3,ITPRID1,SETDB1,ITGB8,NUCB2,INTS4,CABLES1,AGO3
NBAS,PHLDB3,TMEM17,ZNF26,ELP4,FBXO36,OSGEPL1-AS1,FBXL18,BMPR1B
AL049646.1,SLC25A53,MUC20-OT1,ZNF429,STS,LRRC23,PKD1,AC124319.1,FYN
ZNF558,IQCE,AL356534.1,GTF2IRD2B,ENDOD1,SLC2A4,IL4R,FHDC1,B4GALT1
MTFMT,FSIP1,BIN2,CFAP69,SIN3B,CHIC1,TRIM36,VWA5A,RBPMS
TSC1,LINC00205,AC009967.1,IL17RB,CHM,XYLT1,BCOR,ARHGAP28,GRB10
MAML2,C20orf194,GRAMD4,AL031432.4,AMFR,ZNF429,AC009126.1,BMS1P1,TTL
MIR29B2CHG,PRICKLE2,FBF1,ZDHHC18,DHX35,POT1-AS1,RPS21,TRMT9B,TRGC2
CBR4,C2orf88,SLC25A53,CCL26,NLGN4X,AL049646.1,AC009570.2,ADAM23,WFDC1
NBN,ITLN1,AL034427.1,H2BC15,CHSY3,AC093827.1,BUB1B,CCDC157,NBEAL2
AL355073.1,CR1,NBEA,TNPO2,ABR,RAD18,PADI2,TBX6,MBNL1
GOLGA2P5,PARP11,CGA,FAM126A,AL603756.1,USF1,DTL,AL356534.1,CMIP
LINC00598,SGTB,SLMAP,LRCH3,COL21A1,CCL26,ACOX2,NIPAL3,MAPK8IP3
ZNF169,UBA6,TRIM35,TENT4A,NCAM1,CEP97,AC007613.1,PLEKHM1P1,IGFBP2
AL031432.4,LAMA2,FAM135A,OGT,ZFP82,DAAM1,PLXDC1,MTURN,ARL14
BMPR1A,EDNRA,PCNX2,FOXJ2,LRCH3,MPHOSPH9,VPS53,MRAP2,CFDP1
TACO1,GRAMD4,AC006059.2,LINC00205,C1QTNF2,CDK9,CCDC150,GIGYF1,CYP2R1
CASP9,TUBGCP3,MORN3,MECOM,IL6,SUSD1,BMPR1A,SETDB1,CAVIN1
KIF11,SEMA6D,PTGS1,IFI6,CASP9,AC109466.1,NSUN6,MTR,UAP1
AC107204.1,CARD10,ALAS1,LINC01638,MPST,NFKBIZ,ABCC13,GRAMD4,EMP1
NEU3,SGCB,WARS1,CRPPA,SGSM2,OTUD5,AL132780.1,ZNF680,SLIT3
KCNK5,ZSWIM8,AC008105.3,SPOCD1,ELL2,MFSD4B,GKAP1,LINC02577,APOLD1
DNHD1,PITX1,TRIM71,PTP4A3,FBXO42,PPP3CA,XIST,AHCTF1,PLVAP
ZNF623,SOX6,CAPRIN2,ESCO1,PTCH2,ALG14,RNF223,AC108471.2,C19orf25
