0,1,2,3,4,5,6,7,8
EML4,TRIM9,ZNF680,CLU,PDLIM3,CLDN23,ATF3,BHLHE40,PKIB
PBX4,SLC16A13,BTNL9,SORBS2,KANK2,GRN,CREM,CLEC2B,AC109466.1
ARHGAP4,PPP1R9A,EHMT1,GDA,PAMR1,AMFR,ENG,RPL10,ACOT11
USP15,CSRNP3,CDC20,HPGD,C2,SLC51B,SAMSN1,CD74,ZUP1
TSPAN5,CCDC150,KPNA2,YKT6,BMP4,MYO6,ARHGAP4,FN1,WT1
ITGB7,GREB1L,MAP3K8,CADM1,HTRA1,ITGA3,CLEC12A,ISG15,PZP
CD4,TRMT9B,DENND4A,FGFBP2,LAMB1,IL1R2,DNASE1L3,CFH,NARF
MATK,ZNF175,SLC25A45,MAL,FKBP7,SGK1,MMP9,ADAMTS9,HACL1
SEMA4D,AC011498.1,ARHGAP15,REEP1,DAB2,USP53,AC129492.1,PDLIM7,SLC12A8
MBNL1,AL133245.1,SETDB2,APOLD1,MIR99AHG,HSD17B2,SNCA,CARD10,EBI3
SLC2A3,MIR29B2CHG,RASSF3,PITX1,BLVRB,SYTL2,CD36,MMP2,ZBTB37
KLRD1,GRB14,FBXW4,EHF,CD55,PDZK1IP1,NAMPTP1,SELP,CASP10
MAP4K1,SOX2-OT,ATF6B,CKMT1A,GGT5,MIR194-2HG,NFKBIZ,JAG1,TMEM161B-AS1
AC004585.1,LIN7A,TOP2A,KCNK5,RBFOX2,CLUH,RPS13,USHBP1,SLC25A53
GNLY,TRPV1,MBNL1,CDH19,TNS1,CD177,TBC1D9,ATP2B4,ANKRD20A5P
DRAIC,AC010336.8,PPP1R16B,PAWR,NID1,ANPEP,RPS20,SELENOM,PSAP
SMCHD1,AL049646.1,ZBTB32,CENPF,MGST1,MGLL,CXCL3,SASH1,RGS16
RGCC,PKD1,ZC3H12D,TTYH1,MAP1B,IL17RE,GBP1,SORBS2,EFHC2
AL357060.1,ALDOB,ZFP14,A1CF,RUNX1T1,ACVRL1,ARRDC3,PPM1F,HOXB-AS1
AC124319.1,IL12RB2,STIM2,RAB20,LTBP3,HPGD,AC253572.2,HLA-DRB1,FTX
